8/1p2p3/2ppPk2/7R/2P2r2/1R6/6r1/1B2K3 w - - 5 33	34
r7/P4R2/2P1p2k/3nq2p/5n1P/6Q1/5PPK/8 w - - 1 46	-588
r2qr1k1/pp1bbpp1/n1p2n2/3p1BBp/3P1P1N/P1N1P1QP/1P4P1/R4RK1 w - - 1 19	521
6k1/8/2qr2p1/3bQpNp/p4P1P/8/3R3K/8 w - - 0 61	-117
3rr1k1/2q1bpp1/ppb4n/3pn2p/P3P2P/1P3PPN/1B1RQ1B1/1N1R2K1 w - - 0 31	-422
3r1k1r/R3bpR1/1p5p/4B3/1nB5/1P3P2/p3KP1P/8 b - - 5 30	-429
2K3n1/r7/8/2k1P3/7R/1P6/3N4/8 w - - 25 64	165
8/8/3n4/p2Pp2k/2p1P3/2K3PB/P7/8 w - - 18 48	76
8/8/7k/5p2/5p2/7P/3K4/8 b - - 1 59	2
8/1RP2pk1/pp2p3/4P1pp/P7/2r3PP/7K/8 b - - 0 39	409
k7/1b6/p5p1/1p6/1Pr5/P1p1Q2P/5PPK/8 w - - 6 44	-292
6k1/2N3p1/1p3p1n/1B5p/2N1bP2/3r3P/1Bn3P1/R5K1 w - - 2 28	566
r1b2rk1/pp2ppbp/2nn2p1/q7/N1p2P2/1PP1PN2/PB2B1PP/R2Q1RK1 w - - 0 14	-387
8/6pk/5p1p/Bp3P1P/p5P1/P4q2/1P4RK/8 b - - 4 54	118
2r3k1/4qpp1/2P1rn1p/1B6/8/2Q3BP/6P1/2R4K w - - 1 42	-356
8/8/8/5P1K/8/8/3k4/1r6 b - - 4 68	2
3n1r2/1ppk2p1/p1q5/4Rp2/P3pB2/1Q5P/1P4P1/6K1 w - - 4 27	-339
1r6/1p2q1k1/pNp4n/2P1p3/4P1p1/P3PRQ1/6P1/6K1 b - - 3 39	119
8/1K6/8/P7/8/3pn3/8/4k3 w - - 1 127	-22
8/8/1p6/2q5/2k5/8/7K/1Q6 w - - 29 117	-501
1r6/r5kp/2b3p1/1BN1ppP1/1KP5/3R1P1P/1P6/8 b - - 0 37	409
3rr1k1/1p1b1np1/pq2p2p/2p1Pp2/6P1/1P2Q2P/PB3RP1/1BR3K1 b - - 1 23	-266
8/pp2k1p1/4p3/4P2p/P1p1P3/3r2P1/1P2KR1P/8 w - - 0 36	-506
1Q6/2p1rpkp/3r2p1/8/8/2n1bPP1/4R1BP/5K2 w - - 3 33	-365
4q3/k1r5/1p1p1p1Q/p2b1P2/P2bNB1P/1P1P2P1/4R2K/8 b - - 0 35	-470
3r3k/p2rb2p/1p3p2/nN3Q2/2qP4/P2R4/5PPP/3RN1K1 b - - 7 28	12
8/6R1/5p1p/8/1p1Nn3/4P1PP/1r6/2k1K3 b - - 6 54	90
r3k1r1/1p1n1p2/2p1p3/p2p2q1/1n1P1R1p/1PB1P3/P2P2PP/RQ2N1K1 b q - 3 22	-285
r1b4r/1p2kB1p/pn1b1p2/8/8/2N5/PP2NPPP/2KR3R b - - 1 16	-499
8/5p2/2k3p1/6Pp/1R2K2P/P3P3/1p1r4/8 b - - 9 61	50
2r5/1QP1k3/3pq3/1K3pp1/2R4p/4PP2/6P1/8 b - - 1 51	-522
8/R2N4/3r1P2/6K1/1p3P2/2b2k2/8/8 b - - 0 66	-507
8/4k3/8/2N3p1/4P1K1/5P2/3b4/8 b - - 26 75	-20
8/8/2pK4/3b4/3k4/8/3P3R/8 w - - 1 61	340
7r/bb3k2/p3R3/5P1p/2P3nP/1P4P1/P4N2/5RK1 w - - 1 29	-237
5r1k/1b2Nppp/1r6/pp2P3/4n3/2PR1N2/PP4PP/4R1K1 b - - 1 26	-451
rnbqk2r/ppp3pp/3p1p2/3N2B1/P3P1n1/3Q1N1P/1PP2bP1/R2K1B1R b kq - 0 10	261
3r2k1/5pp1/2q1p3/2P4p/pr1P3P/2NQ2P1/5P2/2B1R1K1 w - - 1 35	407
r5k1/7p/b3p1p1/pqPpP1P1/3P1r2/1P2RN2/7P/R3Q1K1 b - - 3 34	-122
6k1/3q1pp1/4p2p/1p1r4/8/2QnB2P/1PR2PP1/6K1 b - - 1 27	494
