fen	coda_cp	opp_cp	outcome
8/1p1k4/2bP4/6P1/p2Brp2/P6p/1P1R1K1P/8 w - - 1 49	239	90	0.5
8/1p1k2P1/2bP2r1/8/p2B1p2/P6p/1P1R1K1P/8 w - - 1 51	210	92	0.5
8/1p1k2P1/2bP4/8/p4p2/P1B4p/1P1R3P/4K1r1 w - - 5 53	174	70	0.5
8/1p1k2P1/2bP4/8/p4p2/P1B4p/1P1R3P/4K1r1 w - - 9 55	165	78	0.5
8/1p1k2P1/3P4/3b4/p4p2/P1BK3p/1P1R2rP/8 w - - 13 57	204	54	0.5
8/1p1k2P1/3Pb3/4B3/p7/P2K1p1p/1P2R1rP/8 w - - 0 59	169	31	0.5
8/1p1k2P1/3Pb3/4B1r1/p3K3/P6p/1P3p1P/4R3 w - - 0 61	167	30	0.5
8/1p1k2P1/3Pb3/4B1r1/p7/P3K2p/1P3p1P/5R2 w - - 4 63	147	12	0.5
6r1/1p1k4/3Pb3/8/p7/P3K1Bp/1P3R1P/8 w - - 1 65	132	13	0.5
6r1/1p1k4/3Pb3/8/p7/P3K1Bp/1P3R1P/8 w - - 5 67	112	17	0.5
4r3/1p6/2kPbR2/8/p3K3/P5Bp/1P5P/8 w - - 9 69	101	14	0.5
2r5/3k4/1p1Pb3/4K3/p7/P5Bp/1P5P/5R2 w - - 4 72	95	14	0.5
8/3k4/1p1PbR2/8/p1r1K3/P5Bp/1P5P/8 w - - 8 74	139	10	0.5
2k5/5R2/1p1P4/8/p1r3b1/P3K1Bp/1P5P/8 w - - 12 76	108	0	0.5
2k5/R2b4/3P4/1p6/p1r5/P2K2Bp/1P5P/8 w - - 0 78	118	0	0.5
2k5/4R3/3P4/1p6/p1r3b1/P3K1Bp/1P5P/8 w - - 4 80	109	0	0.5
2k5/4R3/3P4/1p6/p1r3b1/P3K1Bp/1P5P/8 w - - 8 82	94	0	0.5
2k5/R7/3P4/1p3b2/p3rB2/P3K2p/1P5P/8 w - - 12 84	96	0	0.5
2k5/R7/3P4/1p2B3/p1r3b1/P4K1p/1P5P/8 w - - 16 86	94	1	0.5
2k5/R2b4/3P4/1p2B3/p1r5/P5Kp/1P5P/8 w - - 20 88	84	0	0.5
2k5/R7/3P4/1p2Bb2/p1r5/P6p/1P3K1P/8 w - - 24 90	93	1	0.5
2k5/5R2/3Pb3/1p2B3/p1r5/P3K2p/1P5P/8 w - - 28 92	80	0	0.5
r3r1k1/pp2qpb1/3p2p1/2NP1b2/P1p2P1p/5Q1P/1PB2NP1/R1B2RK1 b - - 0 16	204	103	0.5
r3r1k1/pp2q1b1/3pp1p1/3P4/P1p2P1p/5Q1P/1PbB1NP1/R4RK1 b - - 1 18	310	111	0.5
r3r1k1/pp2q1b1/3p2p1/3p4/P1p1bP1p/2B4P/1P3NP1/R2Q1RK1 b - - 3 20	248	113	0.5
r4r2/pp2q1k1/3p2p1/3p4/P1p1bP1p/7P/1P1Q1NP1/R4RK1 b - - 1 22	270	122	0.5
4rr2/p3q1k1/1p1p2p1/3p4/P1p1bP1p/7P/1P1QRNP1/5RK1 b - - 1 24	259	137	0.5
4r3/p3q1k1/1p1pr1p1/P2p4/2p1bPNp/7P/1P1QR1P1/5RK1 b - - 0 26	264	87	0.5
4r3/p3q1k1/3pr1p1/p4P2/2p1p1Np/7P/1P1Q2P1/5RK1 b - - 0 28	321	62	0.5
5rr1/1kp5/2n5/Pp2p1Np/3p3P/b2P2P1/2PBR1K1/5R2 w - - 2 29	219	111	0.5
5br1/2p5/k1n5/Pp2p2p/3pN2P/3P2P1/2PBR1K1/8 w - - 2 31	241	115	0.5
5br1/2p5/2n2R2/Pk2p2p/1p1pN2P/3P2P1/2PB2K1/8 w - - 2 33	269	115	0.5
6r1/2p5/k1nb1R2/4p2p/1p1pN2P/3P2PK/2PB4/8 w - - 0 35	288	127	0.5
6r1/2p5/2nb4/4p2R/kp1pN2P/3P2PK/2PB4/8 w - - 1 37	288	106	0.5
6r1/2p5/2nb4/4pR2/3pN2P/1k1P2PK/3B4/8 w - - 0 39	252	112	0.5
5r2/2p5/2nb4/4p3/3pN1PP/3P1R1K/2kB4/8 w - - 3 41	261	100	0.5
6r1/2p5/2n4B/4p3/1b1pN1PP/3P2RK/2k5/8 w - - 7 43	221	98	0.5
6r1/2p5/7B/3np2P/1b1pN1P1/3P1R1K/2k5/8 w - - 3 45	245	98	0.5
7r/2p5/7B/3np1PP/3p4/3P1RNK/2kb4/8 w - - 3 47	274	92	0.5
3qr1k1/p7/1p1r4/1Pp2b2/P4PpP/2NP4/5Q1P/R2R2K1 b - - 2 26	140	56	0.5
4r1k1/p7/1p6/1Pp2b2/P4PpP/2Nq4/5Q1P/4R1K1 b - - 1 28	151	37	0.5
6k1/p7/1p6/1Pp2b2/P2q1PpP/2N5/6KP/4Q3 b - - 2 30	131	22	0.5
8/p4k2/1p6/1Pp1Pb2/P5pP/2N5/6KP/8 b - - 0 32	172	8	0.5
8/p7/1p6/1Pp1kb2/P5pP/2N1K3/7P/8 b - - 1 34	168	0	0.5
8/p7/1p6/1Pp1k3/P5pP/1bN1K3/7P/8 b - - 5 36	99	0	0.5
8/p7/1p6/1Pp5/P4kpP/1bN5/4K2P/8 b - - 9 38	83	0	0.5
8/5kp1/3R1p2/4p2p/2N4P/1r1n2P1/5PK1/8 b - - 3 56	160	44	0.5
