fen	played_uci	coda_cp	opp_cp	dur	src
r2qk2r/1bpp3p/p1nbpnp1/5p2/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 w kq - 5 7	a2a3	73	28	16	runA150.pgn
r2qk2r/1bppn2p/p2bpnp1/5p2/2BP4/P1N1PN2/1P3PPP/R1BQ1RK1 w kq - 1 8	c1d2	92	23	16	runA150.pgn
8/2p5/2p5/8/pB1P3k/P3P1n1/1P1K1q2/3Q4 w - - 12 48	d2d3	60	13	3	runA150.pgn
8/2p5/2p5/8/pB1P3k/P2KP1n1/1q6/3Q4 w - - 0 49	d1c2	61	13	3	runA150.pgn
8/2p5/2p5/8/pB1P3k/P2KP1n1/2q5/8 w - - 0 50	d3c2	72	13	3	runA150.pgn
r2q1r1k/2p3bp/1p1ppnp1/p4p2/P2P4/1QP1Pb1P/1P1N1PPB/3RR1K1 w - - 0 15	d2f3	70	22	2	runA150.pgn
r4r1k/2pq2bp/1p1ppnp1/p4p2/P2P4/1QP1PN1P/1P3PPB/3RR1K1 w - - 1 16	b3c2	45	4	2	runA150.pgn
r1bq1r1k/1p2b1pp/p7/n1P2pN1/3Pp2P/P3B3/2Q1BPP1/R3K2R b KQ - 2 12	b7b6	-154	-101	2	runA150.pgn
r1bq1r1k/4b1pp/pp6/n1P2pN1/3Pp2P/P3B3/2Q1BPP1/3RK2R b K - 1 13	c8d7	-122	-78	2	runA150.pgn
1k4rr/1pb1n3/p3n1pp/P1pqPp1P/2Np1P2/1P1P1N2/1KPB2Q1/6RR b - - 2 23	g6h5	-111	-56	9	runA150.pgn
1k4rr/1pb1n3/p3n2p/P1pqPp1p/2Np1P2/1P1P1N1Q/1KPB4/6RR b - - 1 24	g8g4	-122	-79	9	runA150.pgn
1k5r/1pb1n3/p3n2p/P1pqPp1Q/2Np1Pr1/1P1P1N2/1KPB4/6RR b - - 0 25	d5f3	-150	-67	9	runA150.pgn
2r3k1/p5q1/1p1Bb2b/1B1p1pp1/P2Pp1n1/1P2P1PN/3Q1P2/4K2R b K - 3 35	g7b7	147	73	5	runA150.pgn
2r3k1/pq6/1p2b2b/1B1p1pp1/P2Pp1n1/BP2P1PN/3Q1P2/4K2R b K - 5 36	g8g7	149	65	5	runA150.pgn
2r5/pq4k1/1p2b2b/1B1p1pp1/P2Pp1n1/BP2P1PN/3Q1P2/5RK1 b - - 7 37	g7g6	117	41	5	runA150.pgn
4r1k1/1q3Np1/3bp1Pp/3p1p1P/1pnP1P2/3N4/4QPK1/R7 b - - 1 31	d6f8	80	28	4	runA150.pgn
4rbk1/1q3Np1/4p1Pp/2Np1p1P/1pnP1P2/8/4QPK1/R7 b - - 3 32	f8c5	122	16	4	runA150.pgn
4r1k1/1q3Np1/4p1Pp/2Pp1p1P/1pn2P2/8/4QPK1/R7 b - - 0 33	b7c6	83	0	4	runA150.pgn
rn2k2r/1bp1q1bp/1p1pp1p1/pN2Np2/4nP2/1P1PPB2/PBP3PP/R2Q1RK1 b kq - 0 8	c7c6	-133	-60	2	runA150.pgn
rn2k2r/1b2q1bp/1pNpp1p1/pN3p2/4nP2/1P1PPB2/PBP3PP/R2Q1RK1 b kq - 0 9	b7c6	-122	-51	2	runA150.pgn
4r1k1/3b2b1/3p2Np/1p1P1p2/2n5/5Q1P/5PP1/qB1RB1K1 w - - 1 29	g6f4	56	13	8	runA150.pgn
4r1k1/3b2b1/3p3p/1p1P1p2/2n2N2/q4Q1P/5PP1/1B1RB1K1 w - - 3 30	f3a3	101	31	8	runA150.pgn
4r1k1/3b2b1/3p3p/1p1P1p2/5N2/n6P/5PP1/1B1RB1K1 w - - 0 31	e1b4	99	28	8	runA150.pgn
4k2r/1p2q1p1/p6p/2rpPB2/8/2P4P/PP4P1/2KQ1R2 b k - 0 18	e8g8	70	16	2	runA150.pgn
